run_id,tokenizer_type,embed_dim,num_heads,num_layers,batch_size,seq_length,max_seq_len,learning_rate,epoch,loss,cpu_usage,gpu_usage
run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,1,758.4173583984375,22.0,44.74401836832061
run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,10,97.89031219482422,22.3,44.74874165076336
run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,20,61.83615493774414,16.6,44.74401836832061
    
run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,30,38.10810852050781,18.2,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,40,23.191059112548828,15.5,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,50,17.607406616210938,16.5,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,60,15.500823974609375,15.3,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,70,13.874898910522461,15.1,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,80,13.346511840820312,14.7,44.74874165076336

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,90,13.02940559387207,17.0,44.7548008110687

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,100,12.129048347473145,18.1,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,110,11.774267196655273,18.0,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,120,11.738389015197754,18.3,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,130,11.326495170593262,18.3,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,140,11.193560600280762,18.3,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,150,10.896029472351074,18.1,44.74874165076336

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,160,10.984323501586914,17.4,44.760859971374046

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,170,10.740842819213867,17.6,44.7548008110687

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,180,10.341252326965332,18.2,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,190,10.242135047912598,20.9,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,200,10.238762855529785,17.8,44.74874165076336

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,210,9.898775100708008,17.9,44.74874165076336

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,220,10.112874984741211,17.9,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,230,9.900556564331055,18.2,44.74874165076336

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,240,9.968332290649414,17.5,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,250,9.785853385925293,18.2,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,260,9.630504608154297,18.2,44.74874165076336

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,270,9.637957572937012,18.2,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,280,9.413448333740234,18.8,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,290,9.487940788269043,16.2,44.74874165076336

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,300,9.743879318237305,14.4,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,310,10.682794570922852,12.9,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,320,10.88969898223877,15.6,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,330,17.05124282836914,13.7,44.74874165076336

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,340,11.232893943786621,13.4,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,350,9.852239608764648,14.4,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,360,9.511482238769531,13.5,44.74401836832061

run_20251202_094135_b6794343,word,1024,16,12,16,256,512,0.003,370,9.23608684539795,13.9,44.74401836832061

